,fecha
236,2020-10-23
237,2020-10-24
238,2020-10-25
239,2020-10-26
240,2020-10-27
241,2020-10-28
242,2020-10-29
243,2020-10-30
244,2020-10-31
245,2020-11-01
246,2020-11-02
247,2020-11-03
248,2020-11-04
249,2020-11-05
250,2020-11-06
251,2020-11-07
252,2020-11-08
253,2020-11-09
254,2020-11-10
255,2020-11-11
256,2020-11-12
257,2020-11-13
258,2020-11-14
259,2020-11-15
260,2020-11-16
261,2020-11-17
262,2020-11-18
263,2020-11-19
264,2020-11-20
265,2020-11-21
266,2020-11-22
267,2020-11-23
268,2020-11-24
269,2020-11-25
270,2020-11-26
271,2020-11-27
272,2020-11-28
273,2020-11-29
274,2020-11-30
275,2020-12-01
276,2020-12-02
277,2020-12-03
278,2020-12-04
279,2020-12-05
280,2020-12-06
281,2020-12-07
282,2020-12-08
283,2020-12-09
284,2020-12-10
285,2020-12-11
286,2020-12-12
287,2020-12-13
288,2020-12-14
289,2020-12-15
290,2020-12-16
291,2020-12-17
292,2020-12-18
293,2020-12-19
294,2020-12-20
295,2020-12-21
296,2020-12-22
297,2020-12-23
298,2020-12-24
299,2020-12-25
300,2020-12-26
301,2020-12-27
302,2020-12-28
303,2020-12-29
304,2020-12-30
305,2020-12-31
306,2021-01-01
307,2021-01-02
308,2021-01-03
309,2021-01-04
310,2021-01-05
311,2021-01-06
312,2021-01-07
313,2021-01-08
314,2021-01-09
315,2021-01-10
316,2021-01-11
317,2021-01-12
318,2021-01-13
319,2021-01-14
320,2021-01-15
321,2021-01-16
322,2021-01-17
323,2021-01-18
324,2021-01-19
325,2021-01-20
326,2021-01-21
327,2021-01-22
328,2021-01-23
329,2021-01-24
330,2021-01-25
331,2021-01-26
332,2021-01-27
333,2021-01-28
334,2021-01-29
335,2021-01-30
336,2021-01-31
